FieldPatchID,SiteName,SurveyDate,SiteNumber,SitePatchNumber,SpeciesID,Coordinates,NatCommType,Elevation,PatchSize,NumberClumps,ClumpDensity,Percent Canopy Cover,MicroSlope,MicroAspect,MicroHillslopeForm,MacroSlope,MacroAspect,MacroHillslopeForm,HillslopePosition,AvgLitterDepth,AvgDepth0 ,AvgDepthA ,AvgDepthB,AvgSoilDepth,FieldpH,SoilTexComp
P7.1,GreenRRSP,19/7/2016,7,7.1,P,"44.64053, -72.52703",RNHF,429,54.5,28,0.513761468,90.64,42,110,"LC, LL",37,108,CC,Bs/Sh,3.25,2,2.9,NA,3.786,6.5,clay loam
A3.1,MississquoiLedges,15/8/2016,8,8.1,A,"44.80700,-72.45557",Serpentine Outcrop,301.4,14.0725,22,1.563332741,82.58,20,288,CL,37,288,LC,Bs,0,3.66,4.33,NA,4.4,7,clay loam
V3.1,MississquoiLedges,"15/8/2016, 16/8/2016",8,8.2,A,"44.80702, -72.45556",Serpentine Outcrop,296.3,15,22,1.466666667,67.24,50,260,LC,53,270,LC,Bs,2.416666667,2.5,2.166666667,NA,3.791666667,6.5,clay loam
A3.2,MississquoiLedges,16/8/2016,8,8.3,A,"44.80758, -72.45580",Serpentine Outcrop,282.8,2.75,19,6.909090909,85.7,0,0,CL,38,0,LV,Bs,0.6875,0.8182,NA,NA,2.5,7,clay loam
A3.3,MississquoiLedges,19/8/2016,8,8.4,A,"44.80674, -72.45579",Serpentine Outcrop,279.1,1.75,12,6.857142857,85.44,0,250,CC,44,250,LC,Bs,2.166666667,NA,NA,NA,3.944,6.75,clay loam
V3.2,MississquoiLedges,19/8/2016,8,8.5,V,"44.80676, -72.45587",Serpentine Outcrop,287.4,21,23,1.095238095,58.66,33,281,"LC, LL, LV",49,274,CC,Bs,1.857,2.25,2.25,NA,2.73,6.5,loam/clay loam
V3.3,MississquoiLedges,21/8/2016,8,8.6,V,NA,Serpentine Forest,NA,8.25,11,1.333333333,81.8,30,0,LC,29,0,LC,Bs,1.7,2.6,4.5,4.4,12.6,6.75,sandy clay loam
V4.1,WFarmanHill,20/8/2016,9,9.1,V,"44.83426, -72.42493",Serpentine Forest,423.6666667,31.4,23,0.732484076,83.88,4,350,"LL, LC",11,354,CC,Sh,2.9375,2.6875,3.214285714,2.5,7.25,6.85,clay loam/silty clay loam
A4.1,WFarmanHill,22/08/2016,9,9.2,A,"44.83400, -72.42625",Serpentine Outcrop,364.845588,19.5,26,1.333333333,58.4,42,258,"LC,LL",45,270,CC,Bs,1.916666667,1.6667,2.333333333,3,4.5,6.85,loam/clay loam
V4.2,WFarmanHill,23/8/2016,9,9.3,V,"44.83414, -72.42913",Serpentine Forest,309.98,75,62,0.826666667,85.18,15,298,LC,14,309,LC,Bs,1.785714286,3.3,3.25,6.666666667,11.71428571,6.65,clay loam
A4.2,WFarmanHill,4/9/2016,9,9.4,T,"44.834028, -72. 426306",Serpentine Outcrop,NA,6,17,2.833333333,71.14,42,275,"LC, LL",36,285,LC,Bs,1.95,1.944444444,2.1,NA,3.3,NA,NA
V5.1,BelvidereMines,25/8/2016,10,10.1,V,"44.75639,-72.52723",Serpentine Forest,392.5823874,300,135,0.45,66.2,5,0,LC,6,0,CC,Ts,1.75,2.375,10.875,5.5,38.1,7,sandy clay laom
V5.2,BelvidereMines,28/8/2016,10,10.2,V,"44.75713, -72.52892",Serpentine Forest,434.6447861,37.5,36,0.96,85.44,33,250,LV,25,257,LC,Bs,2.625,2.8125,2.857142857,1.125,5.875,NA,sandy clay loam
P8.1,BelvidereMines,17/9/2016,10,10.3,P,"44.75656, -72.52737",Serpentine-Influenced RNHF,391.6679875,78.5,79,1.006369427,83.62,18,273,"VC, LL, LC",20,270,LC,Bs,2.1,3.8,4.4,11.7,20,6.95,sandy clay loam
